from,to,weight
HongKong(SAR)China,Taiwan,0.954762419
Taiwan,Taiwan,0.149264195
Taiwan,HongKong(SAR)China,0.276074019
Taiwan,Germany,0.003095006
Taiwan,China,0.571566779
Macao(SAR)China,China,1
IranIslamicRepublicof,IranIslamicRepublicof,0.921941385
IranIslamicRepublicof,Qatar,0.050183004
IranIslamicRepublicof,Turkey,0.013650866
IranIslamicRepublicof,Germany,7.07E-05
IranIslamicRepublicof,UnitedArabEmirates,0.01415404
Qatar,India,0.320119502
Qatar,IranIslamicRepublicof,0.278231499
Qatar,Nepal,0.016649308
Qatar,Philippines,0.087140719
Qatar,Myanmar,0.140510139
Qatar,Germany,0.000499162
Qatar,UnitedArabEmirates,0.010451373
Qatar,Australia,0.146398298
Nepal,Nepal,0.976619742
Nepal,Qatar,0.023380258
Bangladesh,UnitedArabEmirates,1
SriLanka,Germany,0.319981951
SriLanka,SriLanka,0.680018049
Afghanistan,Afghanistan,0.981392159
Afghanistan,Turkey,0.018607841
Pakistan,UnitedArabEmirates,0.016244812
Pakistan,Pakistan,0.983755188
Maldives,Germany,1
Indonesia,Indonesia,0.987666998
Indonesia,Singapore,0.001536456
Indonesia,UnitedArabEmirates,8.64E-06
Indonesia,SaudiArabia,0.010787902
Malaysia,Malaysia,0.939739355
Malaysia,UnitedKingdom,0.00031263
Malaysia,Singapore,0.059948016
Philippines,Philippines,0.987310321
Philippines,Qatar,0.012422281
Philippines,UnitedArabEmirates,0.000267398
Singapore,Indonesia,0.220116005
Singapore,BruneiDarussalam,0.048362411
Singapore,Malaysia,0.103965792
Singapore,Germany,0.000973168
Singapore,Australia,0.259383937
Singapore,NewZealand,0.243691974
Singapore,PapuaNewGuinea,0.123506713
Thailand,Germany,1.01E-05
Thailand,Thailand,0.998264874
Thailand,UnitedArabEmirates,0.00011499
Thailand,LaoPeople'sDemocraticRepublic,0.000603549
Thailand,Myanmar,0.000660534
Thailand,Cambodia,0.000345921
VietNam,VietNam,0.025323568
VietNam,RussianFederation,0.966924243
VietNam,Germany,0.007752188
BruneiDarussalam,Singapore,1
Myanmar,Myanmar,0.811886211
